stkcd,year,current_assets,fixed_assets_net,total_assets,current_liabilities,total_liabilities,net_profit,depr_amort,equity_nature_id,never_st,m2,lev,npr,size,tang,lag_total_assets,growth,ndts,soe,liq,m2_growth,industry_name_d,industry_code_d,ind_code_raw,ind_code,lev_raw,npr_raw,tang_raw,growth_raw,ndts_raw,liq_raw
680,2017,5917886007.0,1754252664.0,9561029843.0,4683843185.0,5945659399.0,62114425.38,217819976.7,1,1.0,169023.53,0.6218639097077024,0.0064966249870537,22.98096128237107,0.18347946746389,9262041348.0,0.0322810581130219,0.022782062212626,1.0,1.2634680054942955,9.042746354076248,专用设备制造业,C35,C35,C35,0.6218639097077024,0.0064966249870537,0.18347946746389,0.0322810581130219,0.022782062212626,1.2634680054942955
680,2018,5809640048.0,1584959972.0,9371852019.0,4481978142.0,5698888376.0,85035298.63,214767064.1,1,1.0,182674.42,0.6080856125818433,0.009073478588608,22.9609765677746,0.169119184637864,9561029843.0,-0.0197863438464742,0.0229161817391687,1.0,1.2962223071903594,8.076325231167525,专用设备制造业,C35,C35,C35,0.6080856125818433,0.009073478588608,0.169119184637864,-0.0197863438464742,0.0229161817391687,1.2962223071903594
680,2019,5386697126.0,1472752013.0,8930798194.0,5027341407.0,5215784170.0,61918256.09,208887646.6,1,1.0,198648.88,0.5840221732368931,0.0069331155788066,22.91277161126701,0.1649070980004276,9371852019.0,-0.0470615438769018,0.0233895831103134,1.0,1.0714802695714356,8.744771161720388,专用设备制造业,C35,C35,C35,0.5840221732368931,0.0069331155788066,0.1649070980004276,-0.0470615438769018,0.0233895831103134,1.0714802695714356
680,2020,6170262227.0,1360420998.0,9702686556.0,4906903298.0,5879873449.0,105240584.2,188253511.9,1,1.0,218679.59,0.606004678710761,0.0108465406557857,22.995668648644234,0.1402107540162405,8930798194.0,0.0864299411130552,0.0194022048237337,1.0,1.257465625930499,10.083474923191105,专用设备制造业,C35,C35,C35,0.606004678710761,0.0108465406557857,0.1402107540162405,0.0864299411130552,0.0194022048237337,1.257465625930499
680,2021,7942140559.0,1161079645.0,10746332488.0,5520908581.0,6046933786.0,210943924.6,191159998.1,1,1.0,238289.96,0.5626974405223707,0.0196293874989958,23.09783036940346,0.1080442696423669,9702686556.0,0.1075625731055513,0.0177883941627025,1.0,1.438556795947062,8.96762701997018,专用设备制造业,C35,C35,C35,0.5626974405223707,0.0196293874989958,0.1080442696423669,0.1075625731055513,0.0177883941627025,1.438556795947062
680,2022,8364456810.0,1412820525.0,11523162667.0,6061181361.0,6343768569.0,636278438.9,184420589.8,1,1.0,266432.08,0.5505232159194685,0.0552173441690771,23.167624991601723,0.1226070104040127,10746332488.0,0.0722879344992773,0.0160043379694832,1.0,1.3800043773347834,11.81003177809088,专用设备制造业,C35,C35,C35,0.5505232159194685,0.0552173441690771,0.1226070104040127,0.0722879344992773,0.0160043379694832,1.3800043773347834
680,2023,10191824656.0,1319132873.0,13426795161.0,7263287622.0,7563989826.0,768494759.4,201676776.6,1,1.0,292271.33,0.5633503554124862,0.0572359040400199,23.32051818616728,0.0982462946058494,11523162667.0,0.1652005225485202,0.0150204702002007,1.0,1.4031971727416743,9.698250300789612,专用设备制造业,C35,C35,C35,0.5633503554124862,0.0572359040400199,0.0982462946058494,0.1652005225485202,0.0150204702002007,1.4031971727416743
680,2024,14005506090.0,2039648424.0,18288496908.0,10791117243.0,12753048584.0,1104517102.0,261439803.2,1,1.0,313532.23,0.697326229058299,0.0603940885659579,23.629538114889577,0.1115263017108743,13426795161.0,0.3620895149366314,0.0142953138530284,1.0,1.297873591271109,7.274370702045929,专用设备制造业,C35,C35,C35,0.697326229058299,0.0603940885659579,0.1115263017108743,0.3620895149366314,0.0142953138530284,1.297873591271109
680,2025,14490332156.0,2183519486.0,19056605127.0,11270113667.0,12585624575.0,1214259275.0,315252377.5,1,1.0,340294.81,0.660433717922207,0.0637185514895094,23.670679604250385,0.114580717365357,18288496908.0,0.0419995269629842,0.0165429453671861,1.0,1.2857307906688746,8.535830590686011,专用设备制造业,C35,C35,C35,0.660433717922207,0.0637185514895094,0.114580717365357,0.0419995269629842,0.0165429453671861,1.2857307906688746
698,2011,1321679418.0,4594867279.0,6836697181.0,2982115821.0,3615999544.0,210813280.8,451567516.1,1,1.0,85159.09,0.5289102980967616,0.0308355445939415,22.64557058368759,0.6720887524124495,6873430688.0,-0.0053442754669995,0.0660505364132494,1.0,0.443201906744453,17.322971438522305,化学原料和化学制品制造业,C26,C26,C26,0.5289102980967616,0.0308355445939415,0.6720887524124495,-0.0053442754669995,0.0660505364132494,0.443201906744453
698,2012,1494843915.0,4426092619.0,7017234692.0,2433939545.0,3960087615.0,-163550559.9,469435870.4,1,1.0,97414.88,0.5643373478037864,-0.0233069816072214,22.67163505885933,0.6307459865986765,6836697181.0,0.0264071241156819,0.0668975587969404,1.0,0.6141664110231628,14.391640399163496,石油、煤炭及其他燃料加工业,C25,C25,C25,0.5643373478037864,-0.0233069816072214,0.6307459865986765,0.0264071241156819,0.0668975587969404,0.6141664110231628
